datasource;dayofservice;tripid;progrnumber;stoppointid;plannedtime_arr;plannedtime_dep;actualtime_arr;actualtime_dep;vehicleid;passengers;passengersin;passengersout;distance;suppressed;justificationid;lastupdate;note
DB;27-MAR-17 00:00:00;4529326;4;7388;24836;24836;24844;24844;1001213;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4529326;10;1893;25143;25143;25166;25166;1001213;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4529326;15;1897;25305;25305;25333;25333;1001213;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4529326;19;1859;25470;25470;25561;25561;1001213;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4529326;24;1863;25638;25638;25707;25707;1001213;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4524610;64;1538;32700;32700;33368;33377;1001141;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4524610;69;4479;32938;32938;33763;33763;1001141;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4524610;74;4368;33131;33131;33927;33947;1001141;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4524610;78;110;33393;33393;34188;34202;1001141;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4532815;3;1830;34326;34326;34369;34385;2534867;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4532815;8;1871;34696;34696;34780;34780;2534867;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4532815;13;1876;34929;34929;34909;34922;2534867;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4524401;48;560;57777;57777;57640;57661;1001068;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4524401;52;565;58007;58007;57873;57885;1001068;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4525938;14;6245;76197;76197;76225;76242;2534836;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4525938;19;2172;76446;76446;76500;76518;2534836;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4525938;24;1965;76728;76728;76808;76820;2534836;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4525938;29;1980;77032;77032;77133;77133;2534836;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4532272;17;1076;59346;59346;59430;59458;2534794;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4532272;22;1081;59689;59689;59705;59720;2534794;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4532272;27;2918;60017;60017;59992;60012;2534794;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4532272;32;5129;60357;60357;60646;60663;2534794;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4532272;37;2924;60823;60823;61081;61110;2534794;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4532272;42;7445;61099;61099;61427;61427;2534794;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4532272;47;6277;61333;61333;61672;61672;2534794;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4520299;2;395;55211;55211;55292;55292;2172252;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4520299;6;399;55480;55480;55542;55556;2172252;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4520299;11;1285;56401;56401;56359;56395;2172252;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4532666;60;5118;58294;58294;57585;57665;1000471;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4532666;65;3914;58577;58577;57951;57964;1000471;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4519771;56;4129;40333;40333;39989;39989;2534855;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4519771;61;4171;40742;40742;40294;40305;2534855;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4519771;66;2964;41042;41042;40491;40505;2534855;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4523271;1;4320;35400;35400;35387;35387;1000588;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4523271;6;7622;36148;36148;35743;35759;1000588;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4523271;10;842;36784;36784;36406;36418;1000588;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4523271;15;2795;37059;37059;36701;36701;1000588;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4523271;20;760;37392;37392;36871;36871;1000588;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4523271;25;2008;37654;37654;37037;37050;1000588;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4523271;30;4571;37955;37955;37323;37338;1000588;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4530325;16;742;84173;84173;84123;84158;1932329;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4530325;21;654;84378;84378;84308;84308;1932329;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4530325;26;659;84554;84554;84440;84440;1932329;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4530325;31;608;84731;84731;84572;84579;1932329;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4530325;35;612;84877;84877;84693;84693;1932329;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4530325;40;617;85110;85110;84877;84877;1932329;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4530325;45;621;85375;85375;85080;85093;1932329;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4522603;4;917;74776;74776;74752;74768;2693260;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4522603;9;5157;74950;74950;74993;74993;2693260;;;;;;;09-APR-17 09:00:06;
